repo_owner,repo_name,issue_number,pr_url,commit_url
mapbox,mapbox-gl-native,4026,https://github.com/mapbox/mapbox-gl-native/pull/4963,https://github.com/mapbox/mapbox-gl-native/commit/d28b6f37190dc1c9cbb1e3973f8a4534b507865c
mapbox,mapbox-gl-native,3727,https://github.com/mapbox/mapbox-gl-native/pull/3731,https://github.com/mapbox/mapbox-gl-native/commit/0439d003135dbdd15a993efff712e27cd15ab89e
mapbox,mapbox-gl-native,3069,https://github.com/mapbox/mapbox-gl-native/pull/3072,https://github.com/mapbox/mapbox-gl-native/commit/35441a26e9bc6335ae5009455672772572bee004
mapbox,mapbox-gl-native,3005,https://github.com/mapbox/mapbox-gl-native/pull/3009,https://github.com/mapbox/mapbox-gl-native/commit/0dc1519a1891dac6272f69dd1d1768f15908003c
mapbox,mapbox-gl-native,2577,https://github.com/mapbox/mapbox-gl-native/pull/2656,https://github.com/mapbox/mapbox-gl-native/commit/d7db22746a1b8e53c1ca9ed3a975f0dbafd17baf
mapbox,mapbox-gl-native,2290,https://github.com/mapbox/mapbox-gl-native/pull/2409,https://github.com/mapbox/mapbox-gl-native/commit/85ec3eb0a5739c4f7b160d82715d3be51e10a02b
mapbox,mapbox-gl-native,2180,https://github.com/mapbox/mapbox-gl-native/pull/2181,https://github.com/mapbox/mapbox-gl-native/commit/2f30dfe97d851f2a2bb4141dc234013b01f8afd3
mapbox,mapbox-gl-native,1946,https://github.com/mapbox/mapbox-gl-native/pull/1960,https://github.com/mapbox/mapbox-gl-native/commit/d57a02f3a9274d331ddaa7a82d062e36fdc09251
mapnik,mapnik,2210,https://github.com/mapnik/mapnik/pull/2241,https://github.com/mapnik/mapnik/commit/f0fd0aa8ce3f377289f32ebeb80f03d47f9977df
nuttyartist,notes,425,https://github.com/nuttyartist/notes/pull/427,https://github.com/nuttyartist/notes/commit/e9ec0f996e7a8523f00eaf68a7c2c58d2fac9216
defold,defold,8678,https://github.com/defold/defold/pull/8839,https://github.com/defold/defold/commit/a513dc0246ce19cb2204ae307ddf3b52c68e6138
xtensor-stack,xtensor,2063,https://github.com/xtensor-stack/xtensor/pull/2064,https://github.com/xtensor-stack/xtensor/commit/14d9486e049ca54deb444a39ce399690b5ad1463
solvespace,solvespace,759,https://github.com/solvespace/solvespace/pull/762,https://github.com/solvespace/solvespace/commit/c6a06e72020e1b02180ee0f3a487854a8775d921
facebookincubator,velox,10057,https://github.com/facebookincubator/velox/pull/10084,https://github.com/facebookincubator/velox/commit/fa9bfdbad216f0d793113c52de7aae2520526239
facebookincubator,velox,9914,https://github.com/facebookincubator/velox/pull/9926,https://github.com/facebookincubator/velox/commit/40c8e68b664f2d8ca83ef724407ba3fa6ae14641
facebookincubator,velox,9254,https://github.com/facebookincubator/velox/pull/9307,https://github.com/facebookincubator/velox/commit/941cd2c11655557b640bef5ad988e6c816f99698
